car;max;min;mean
ALPINA;109.8;109.8;109.8
DS;31.99;22.98;27.23
GMC;238.0;76.8;177.6
Jeep;71.49;19.08;38.2
KTM;139.8;139.8;139.8
Lorinser;159.8;108.8;134.3
MINI;42.98;31.38;36.23
Polestar极星;145.0;41.8;93.4
WEY;27.98;17.3;21.7
三菱;39.98;15.58;24.18
上汽MAXUS;49.48;15.68;25.66
东风·瑞泰特;25.98;25.98;25.98
丰田;85.6;10.38;33.08
之诺;34.9;34.9;34.9
乔治·巴顿;378.0;168.0;273.0
九龙;32.98;10.18;23.53
依维柯;34.69;16.4;28.84
保时捷;389.8;89.5;188.82
克莱斯勒;49.69;49.19;49.52
兰博基尼;920.47;290.0;531.76
凯迪拉克;148.8;33.97;58.99
别克;44.99;9.99;22.65
前途;75.43;75.43;75.43
劳斯莱斯;920.0;530.0;654.0
北京;39.8;13.98;22.31
华颂;28.77;28.77;28.77
卡尔森;143.88;143.88;143.88
双龙;31.98;31.98;31.98
国金汽车;24.98;24.98;24.98
大众;81.98;10.68;28.21
奔驰;319.88;29.98;101.83
奥迪;229.98;23.73;75.62
威马汽车;23.99;18.98;21.48
威麟;22.68;22.68;22.68
宇通客车;78.8;30.98;54.89
宝沃;37.88;13.08;23.36
宝马;242.8;26.38;86.33
宾利;555.8;219.7;384.46
巴博斯;30.19;21.58;25.88
帕加尼;2900.0;2900.0;2900.0
广汽新能源;34.96;18.08;24.54
广汽集团;23.05;19.28;21.49
开沃汽车;24.98;24.98;24.98
捷豹;158.6;38.58;72.86
斯巴鲁;31.08;23.18;27.2
日产;37.58;11.28;20.12
本田;37.68;10.28;21.26
林肯;119.8;36.98;64.32
汉龙汽车;24.38;24.38;24.38
沃尔沃;122.58;28.39;59.8
法拉利;485.9;263.8;402.23
海格;80.8;9.28;29.05
爱驰;29.21;29.21;29.21
特斯拉;90.99;35.58;66.74
玛莎拉蒂;302.8;118.88;198.87
理念;22.58;22.58;22.58
理想汽车;32.8;32.8;32.8
福特;61.28;11.68;30.24
红旗;45.98;19.08;29.68
罗夫哈特;97.5;97.5;97.5
腾势;35.78;35.78;35.78
英菲尼迪;113.8;23.58;49.39
蔚来;54.8;50.6;52.7
讴歌;289.0;34.98;98.11
路特斯;2188.0;97.2;1142.6
路虎;321.3;50.08;121.99
迈凯伦;378.8;198.8;277.58
道奇;37.29;37.29;37.29
金旅;75.0;7.28;25.27
金龙;38.0;12.3;24.08
钧天;107.8;107.8;107.8
银隆新能源;43.0;43.0;43.0
阿尔法·罗密欧;127.98;125.98;126.98
阿斯顿·马丁;500.7;237.8;341.38
雪佛兰;69.9;9.99;27.54
雷克萨斯;141.7;28.2;70.2
领克;25.98;18.88;22.28
马自达;34.0;15.98;24.3
